Cell,MaintenanceStatus,SerialNumber,MaintenanceDate
7H27L4,Done,SDL4OYV5,01/09/2024
NVIIRV,Done,HHXW9A9C,02/09/2024
834C8X,Done,4CLC29B9,03/09/2024
BI2BI0,Done,J9WA8QJF,04/09/2024
53FCIU,Done,49EIQXR,05/09/2024
0DKBDE,Done,AFKFW3PD,06/09/2024
DR2FB3,Done,TXI5GVBL,07/09/2024
PIBIDT,Done,OFPAYVJV,08/09/2024
9OMOSD,Done,X5KRYSV1,09/09/2024
9VR7RO,Done,6M9HPI0F,10/09/2024
RZ8BO8,Done,8UXUWE53,11/09/2024
X78TFV,Overdue,ZDCJ35BB,01/06/2024
EJAOET,Overdue,IZVN2FKH,02/06/2024
48H0LP,Overdue,G479VVF3,03/06/2024
SDZI4E,Overdue,KXQ5UR9D,04/06/2024
LP0HNU,Upcoming,KXN5WJG5,01/01/2025
07RIRW,Upcoming,JWS7BIH8,02/01/2025
IMHAO0,Upcoming,ET9NLL3C,03/01/2025
MI9VEP,Upcoming,NBY997MH,04/01/2025
0CYBFQ,Upcoming,YFXFW2PP,05/01/2025
LFR8PP,Upcoming,TT2W87EV,06/01/2025
I1IX2I,Upcoming,14MF5WGL,07/01/2025
82TFFU,Upcoming,XWJU57IY,08/01/2025
JKTB4G,Upcoming,MT0G03RP,09/01/2025
MHB89D,Upcoming,4VKV412K,10/01/2025